iter	Passed	Remaining
0	4	1293
1	8	1288
2	11	1184
3	16	1184
4	19	1154
5	23	1172
6	28	1174
7	32	1172
8	36	1167
9	40	1188
10	44	1172
11	48	1157
12	51	1138
13	54	1123
14	58	1109
15	61	1094
16	64	1079
17	68	1070
18	71	1056
19	74	1042
20	77	1029
21	80	1015
22	83	1001
23	85	987
24	88	974
25	91	961
26	94	954
27	97	949
28	100	941
29	103	934
30	106	924
31	109	914
32	111	905
33	114	894
34	116	885
35	119	875
36	122	867
37	124	860
38	127	852
39	130	845
40	132	837
41	135	829
42	137	823
43	140	816
44	142	809
45	145	801
46	147	795
47	150	788
48	152	782
49	155	776
50	157	770
51	160	764
52	162	759
53	165	753
54	168	749
55	171	745
56	174	741
57	176	737
58	179	734
59	182	729
60	184	724
61	187	719
62	189	714
63	192	710
64	195	708
65	200	710
66	204	711
67	208	710
68	212	710
69	215	708
70	219	708
71	225	712
72	228	711
73	232	710
74	236	709
75	240	708
76	243	706
77	246	702
78	250	701
79	253	698
80	256	694
81	259	690
82	263	687
83	266	685
84	269	681
85	272	676
86	274	672
87	277	668
88	280	664
89	282	659
90	285	655
91	288	651
92	290	646
93	293	642
94	295	638
95	298	634
96	301	630
97	303	625
98	306	622
99	309	618
100	311	613
101	314	609
102	316	606
103	320	603
104	323	599
105	325	596
106	328	592
107	331	588
108	333	584
109	336	580
110	338	576
111	341	573
112	343	569
113	346	565
114	348	561
115	351	557
116	353	553
117	356	549
118	359	546
119	361	542
120	364	539
121	367	535
122	369	532
123	372	528
124	374	524
125	377	521
126	379	517
127	382	513
128	384	510
129	387	506
130	389	502
131	392	499
132	395	496
133	397	492
134	400	489
135	403	485
136	405	482
137	408	479
138	410	476
139	413	472
140	416	469
141	419	466
142	422	463
143	424	460
144	427	457
145	430	453
146	432	450
147	435	447
148	438	443
149	440	440
150	443	437
151	445	433
152	448	430
153	450	427
154	453	423
155	455	420
156	458	417
157	460	414
158	463	411
159	466	407
160	468	404
161	471	401
162	473	398
163	476	394
164	479	392
165	482	389
166	485	386
167	487	383
168	490	379
169	492	376
170	495	373
171	498	371
172	501	368
173	503	364
174	506	361
175	510	359
176	512	356
177	515	353
178	518	350
179	521	347
180	524	344
181	526	341
182	529	338
183	531	335
184	534	332
185	537	329
186	539	326
187	542	322
188	544	319
189	547	316
190	549	313
191	552	310
192	554	307
193	557	304
194	560	301
195	562	298
196	565	295
197	567	292
198	570	289
199	572	286
200	576	283
201	578	280
202	581	277
203	583	274
204	586	271
205	589	268
206	592	265
207	595	263
208	598	260
209	601	257
210	603	254
211	606	251
212	609	249
213	612	246
214	614	243
215	617	240
216	620	237
217	622	234
218	625	231
219	627	228
220	630	225
221	633	222
222	636	219
223	638	216
224	641	213
225	644	210
226	646	208
227	649	205
228	652	202
229	655	199
230	657	196
231	659	193
232	662	190
233	664	187
234	667	184
235	670	181
236	672	178
237	675	175
238	677	173
239	680	170
240	682	167
241	685	164
242	687	161
243	690	158
244	693	155
245	696	152
246	698	149
247	701	147
248	703	144
249	706	141
250	708	138
251	712	135
252	716	133
253	718	130
254	721	127
255	723	124
256	726	121
257	729	118
258	731	115
259	734	112
260	736	110
261	739	107
262	741	104
263	744	101
264	747	98
265	749	95
266	752	92
267	755	90
268	757	87
269	760	84
270	762	81
271	764	78
272	767	75
273	770	73
274	772	70
275	775	67
276	777	64
277	780	61
278	782	58
279	785	56
280	788	53
281	791	50
282	794	47
283	796	44
284	799	42
285	802	39
286	805	36
287	807	33
288	810	30
289	812	28
290	815	25
291	818	22
292	820	19
293	823	16
294	825	13
295	828	11
296	831	8
297	833	5
298	836	2
299	838	0
