tray_id,total_cells,defective_cells,defect_rate
TRAY-1009,25,1,4.0
TRAY-1012,25,1,4.0
TRAY-1024,25,2,8.0
TRAY-1034,24,1,4.166666666666666
TRAY-1040,17,1,5.88235294117647
TRAY-1043,23,1,4.3478260869565215
TRAY-1045,17,1,5.88235294117647
TRAY-1047,25,1,4.0
TRAY-1049,25,1,4.0
TRAY-1054,17,1,5.88235294117647
TRAY-1058,17,2,11.76470588235294
TRAY-1059,17,1,5.88235294117647
TRAY-1073,16,1,6.25
TRAY-1085,15,3,20.0
TRAY-1090,25,2,8.0
TRAY-1096,15,4,26.666666666666668
TRAY-1097,25,3,12.0
TRAY-1098,25,1,4.0
TRAY-1099,25,1,4.0
TRAY-1100,25,2,8.0
TRAY-1103,25,4,16.0
TRAY-1110,15,1,6.666666666666667
TRAY-1111,25,1,4.0
TRAY-1113,25,5,20.0
TRAY-1114,25,1,4.0
TRAY-1118,25,1,4.0
TRAY-1129,22,2,9.090909090909092
TRAY-1132,23,2,8.695652173913043
TRAY-1133,25,13,52.0
TRAY-1145,16,2,12.5
TRAY-1147,15,2,13.333333333333334
TRAY-1153,15,1,6.666666666666667
TRAY-1155,15,5,33.33333333333333
TRAY-1156,15,1,6.666666666666667
TRAY-1157,15,1,6.666666666666667
TRAY-1160,25,1,4.0
TRAY-1162,15,1,6.666666666666667
TRAY-1167,25,1,4.0
TRAY-1168,25,1,4.0
TRAY-1177,25,2,8.0
TRAY-1179,15,1,6.666666666666667
TRAY-1185,15,1,6.666666666666667
TRAY-1186,24,5,20.833333333333336
TRAY-1187,15,4,26.666666666666668
TRAY-1195,15,1,6.666666666666667
TRAY-1201,15,1,6.666666666666667
TRAY-1205,25,1,4.0
TRAY-1210,15,1,6.666666666666667
TRAY-1232,23,1,4.3478260869565215
TRAY-1235,16,1,6.25
TRAY-1236,17,2,11.76470588235294
TRAY-1239,17,1,5.88235294117647
TRAY-1240,23,12,52.17391304347826
TRAY-1245,23,7,30.434782608695656
TRAY-1247,25,1,4.0
TRAY-1250,21,3,14.285714285714285
TRAY-1254,23,5,21.73913043478261
TRAY-1255,25,1,4.0
TRAY-1256,22,5,22.727272727272727
TRAY-1267,21,10,47.61904761904761
TRAY-1269,23,1,4.3478260869565215
TRAY-1270,23,1,4.3478260869565215
TRAY-1273,25,1,4.0
TRAY-1274,20,1,5.0
TRAY-1275,21,3,14.285714285714285
TRAY-1278,25,1,4.0
TRAY-1280,21,1,4.761904761904762
TRAY-1283,25,1,4.0
TRAY-1287,21,1,4.761904761904762
TRAY-1300,24,1,4.166666666666666
TRAY-1325,25,2,8.0
TRAY-1330,17,2,11.76470588235294
TRAY-1331,17,2,11.76470588235294
TRAY-1333,25,7,28.000000000000004
TRAY-1335,17,2,11.76470588235294
TRAY-1337,25,3,12.0
TRAY-1339,25,5,20.0
TRAY-1340,25,1,4.0
TRAY-1341,17,1,5.88235294117647
TRAY-1350,25,6,24.0
TRAY-1353,17,2,11.76470588235294
TRAY-1354,17,2,11.76470588235294
TRAY-1356,17,1,5.88235294117647
TRAY-1377,16,2,12.5
TRAY-1379,25,2,8.0
TRAY-1381,25,1,4.0
TRAY-1395,22,12,54.54545454545454
TRAY-1396,23,1,4.3478260869565215
TRAY-1409,22,1,4.545454545454546
TRAY-1413,20,4,20.0
TRAY-1418,24,2,8.333333333333332
TRAY-1420,22,6,27.27272727272727
TRAY-1425,22,8,36.36363636363637
TRAY-1426,22,15,68.18181818181817
TRAY-1429,22,6,27.27272727272727
TRAY-1430,22,12,54.54545454545454
TRAY-1433,22,8,36.36363636363637
TRAY-1434,22,20,90.9090909090909
TRAY-1448,25,1,4.0
TRAY-1451,23,1,4.3478260869565215
TRAY-1452,25,1,4.0
TRAY-1453,25,1,4.0
TRAY-1455,25,1,4.0
TRAY-1457,23,1,4.3478260869565215
TRAY-1458,21,1,4.761904761904762
TRAY-1462,25,3,12.0
TRAY-1463,23,4,17.391304347826086
TRAY-1464,23,1,4.3478260869565215
TRAY-1467,25,18,72.0
TRAY-1476,25,10,40.0
TRAY-1479,25,1,4.0
TRAY-1482,25,14,56.00000000000001
